Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
BaddhaKonasana,BK_2.jpg,189.68931348109766,167.16736349796705,6.337863500979954,5.830172084604459,345.79277858651784,13.736268305622572,306.55308218765214,47.62433744125652,47.77046093590635,81.52612709397255,280.47525051049604,311.24144431452805,33.39258432420505,2.010963858291147
BaddhaKonasana,BK_21.jpg,197.28569704195573,159.01921010263726,8.124828876525589,11.10243679972873,342.3762224880922,18.67856642173322,301.28846742468215,61.89048800064155,51.50478856537257,78.07642210300115,275.05541877105264,324.0759940227824,350.0822812853849,355.74160523182996
BaddhaKonasana,BK_22.jpg,183.41393809664098,174.13230232772563,0.3739455782026062,1.1949054500927434,347.94197098174766,10.740646265941695,306.0273733851036,57.23820345441448,41.000333006148054,61.18972610223695,299.387397929967,307.44696285424357,343.2433008999151,17.102728969052382
BaddhaKonasana,BK_23.jpg,218.9160537277677,144.69950795785445,16.954641745601307,13.510399122803035,348.1248360202999,12.399872276698005,299.2262163440114,54.97387807461265,59.808776228385724,73.80925671532869,284.4129586459019,312.37071817584956,350.5376777919744,18.034285567129867
BaddhaKonasana,BK_24.jpg,199.30247457990842,165.80831529782412,7.997680587191561,8.008491959158029,348.02386755579664,15.009176962799756,281.21539424556363,54.904788735785814,49.16029321051084,83.91147184580483,278.23942301610396,305.87929124086617,349.18799050213835,13.626994859891546
BaddhaKonasana,BK_26.jpeg,191.52806113881573,171.4259848953078,7.957800893993787,2.6766233629867866,345.8650916139836,15.388146479378705,298.8145923162107,47.49068451682158,45.60322347045737,82.63297265819564,275.2789525465665,311.8823644929401,29.847348209229825,23.500144463516467
BaddhaKonasana,BK_27.png,229.74829597744798,105.38009005372324,30.948099809000162,31.72935612359634,348.0540520784833,12.213810230940533,317.20864110575206,60.758697155308596,86.24843802858749,60.112321057857756,284.4963667237014,304.8266471915084,84.6481815149169,24.743537825476878
BaddhaKonasana,BK_28.jpg,197.45443218988103,186.82236427986462,352.4486232114518,14.824170820552862,342.01583798590474,30.40219938549671,327.76862882558873,16.69191272034035,35.98336022631327,69.80310424822291,293.2963809634168,325.70263245132753,347.99086328041267,338.54954298162426
BaddhaKonasana,BK_29.jpg,196.30996559919797,162.88878570057875,8.680448667769411,7.514320949570998,343.1374954239267,18.296720431239248,301.99168055425963,57.0345643506985,48.21640448298053,75.17610664551863,285.8384773804198,305.79224014978064,0.5895719234242288,8.68764331421542
BaddhaKonasana,BK_3.jpg,190.72278645022058,164.5022182699377,6.410936682326324,6.6992831553596055,341.50232877078196,20.17675668444185,311.9114150724079,42.33899261595596,46.51462001871024,78.84467136549519,275.28834233497685,311.342575468487,9.462322208025622,6.149790414647587
BaddhaKonasana,BK_30.jpg,184.39307518969565,171.135043911362,0.9757101336498835,1.8818253813729076,346.08930259484003,14.133029931258594,296.82456727634735,62.20575014533574,38.641647944234506,55.43286189520246,299.7203045851398,306.41929551920515,339.4142023336487,48.731396999160445
BaddhaKonasana,BK_31.jpeg,184.2424161094789,175.91228839391098,2.4525055012328303,4.712982305595744,350.1931653713915,12.360573940701045,299.56035446468076,59.79280067833093,42.78233722668307,43.15421916514066,308.37399280256,309.0389648553915,359.8565217201625,349.2395306939719
BaddhaKonasana,BK_32.jpg,191.59713838396,170.7451426442426,1.1550820579957715,3.767001822629585,345.8329444773688,13.820121102861133,301.6754687381092,45.000000000000014,41.43211176216024,79.04704595671207,282.2221203850429,305.60702911519235,324.64584425661195,18.434948822922006
BaddhaKonasana,BK_33.jpg,196.72631441895396,161.08932893729062,9.525662212263187,10.368718734751054,340.87286522446703,21.03259815117933,316.84656333886056,39.45096949485163,49.20035835583056,87.76180723017235,271.9811580189019,309.8246163025008,11.050086052410398,356.0952534604864
BaddhaKonasana,BK_34.jpg,192.44307195682245,164.03847925485556,9.286529709904954,9.361866197265751,337.1330283659313,22.265859263724995,322.6294442427068,42.8447243792085,46.31383636625586,70.63819406656283,278.66603087590954,314.11452877670365,3.6976464518451864,354.5499069513812
