Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label
Triangle,triangle12.jpg,161.8899765000995,189.13338345526944,89.29268063145571,93.84213898737175,175.22525375882566,175.7249712420192,292.21495451925466,77.95802207074159,168.5833053274682,39.3907255535542,130.82629795207808,331.5873385569274,1.6155402334393736,167.61493781538277,1
Triangle,triangle13.jpg,179.60003595926602,180.69869438298343,96.2882149417407,120.32195962742082,172.7666957256476,174.8283799204843,290.77344646953645,78.03450781093171,195.4207347375694,51.79991027468387,145.3617439470968,324.7962099174745,3.266707656789632,171.0422863934897,1
Triangle,triangle14.jpg,165.2688482495505,178.41419639471272,68.1037431241992,133.07605901544872,257.8964797556165,176.9059419410829,262.9903131642455,104.2134920270478,191.28758099683887,21.09529897946014,177.8996291511823,330.3743240446724,358.7811247648687,200.00430362767105,1
Triangle,triangle15.jpg,168.0104692133377,190.72685396243904,87.27368900609375,113.47825784452785,179.84668597119364,183.42733194769227,286.2814453146072,81.26719884709895,181.49978132671583,51.67230943364523,145.73344029505395,329.1419767937945,2.826660039130537,175.45936295774536,1
Triangle,triangle16.jpg,169.69515353123398,180.09533398775028,85.60129464500447,116.56505117707796,177.60366726586787,170.71390416287184,275.5225617519977,93.81407483429037,182.808484877346,50.52200806907096,160.58453454403698,321.7830488552012,0.0,186.06663307360512,1
Triangle,triangle17.jpg,182.26278980713943,194.03624346792648,96.7700284531306,115.86635679409454,173.5504652961577,174.5239167657641,285.7853242950003,83.8298249049704,188.53076560994813,56.66492036979143,150.1532337713035,323.2594379798788,2.701945836112456,174.70295189540323,1
Triangle,triangle18.jpg,163.51872778867076,192.982557061614,113.4023281044066,97.9530819714384,168.12088277614416,175.5394233588375,296.1354385232556,74.22244185998346,178.49075976341277,44.49647190048382,130.08446529120738,323.72743028169015,8.791608944025846,162.00507083823544,1
Triangle,triangle19.jpg,149.31871831739758,187.33075905373715,102.40956588440122,100.32369907956404,183.91592383142196,175.52697038349154,277.9723262729065,93.6715355591088,177.91466288032836,31.469506897677118,144.53289846277258,320.4939913434401,359.0122396003602,181.0836497018101,1
Triangle,triangle2.jpg,170.18648214074537,191.13332781244796,65.05992518044677,134.4428462863874,173.91326177955975,180.7191561165451,297.36077472981725,69.72611595586113,197.1442744029263,89.04316571080396,159.52484288599032,322.5299267776876,22.586234089343694,180.6160599083992,1
Triangle,triangle20.jpg,159.62356478616363,193.4957332807958,69.62356478616361,195.35992793892072,184.8884009481248,175.55689079480385,291.08816045880707,77.30834945567058,251.1149549592308,63.61016472782735,146.9281481555695,331.92751306414704,3.062808542762423,134.43115670201664,1
Triangle,triangle21.jpg,175.0114937671114,187.4314079711725,84.75165074349944,118.9509952074668,169.50500380706274,175.16273704620892,279.2329517906525,89.86510730158264,185.1021652523582,54.70517863874269,156.1357016606999,327.9326083967395,359.0451587461278,180.3875540262397,1
Triangle,triangle22.jpg,163.0885159687298,189.97416368525384,95.83949231151746,108.79497142439352,171.17281141067383,174.52920364672212,281.1808651944691,90.5132743275413,180.3156760317565,41.88301140087983,143.98054094311638,328.04563706294863,357.1586479912193,171.5907904242982,1
Triangle,triangle23.jpg,169.47921568612566,199.63168931721395,124.66344585350066,82.52686775750146,174.8978347476418,178.3118536317436,297.8495112924846,71.36598365489301,174.6202984008746,30.290353366856525,115.94989319039377,347.1896792185239,359.55314472368786,162.93098549581586,1
Triangle,triangle24.jpg,171.46923439005187,195.8952683725813,85.76360520094117,114.10081167517832,174.96089995313858,180.00000000000003,295.27318772727125,72.42014857334472,175.66846434402518,62.04066086434559,146.88287117170373,336.9569833695675,2.174744114610058,175.74163920084746,1
Triangle,triangle25.jpg,179.1815445383114,189.38234490163185,97.76516601842532,103.83389861942112,171.4985524033258,174.50140109466065,287.50700160657334,84.4955361637992,180.6576539334068,53.84181456019167,146.3019101022562,322.76516601842536,3.325900875841231,177.3307357950291,1
