Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label,left_elbow_angle_corrected,right_elbow_angle_corrected,left_shoulder_angle_corrected,right_shoulder_angle_corrected,left_knee_angle_corrected,right_knee_angle_corrected,angle_for_ardhaChandrasana1_corrected,angle_for_ardhaChandrasana2_corrected,hand_angle_corrected,left_hip_angle_corrected,right_hip_angle_corrected,neck_angle_uk_corrected,left_wrist_angle_bk_corrected,right_wrist_angle_bk_corrected
Downward_dog,downward_dog52.jpg,165.38833501878446,164.6894209258503,160.0,160.0,170.0,154.289951665956,388.0120438166291,-9.801592393345194,32.053924773308,102.82185928302827,59.99857677320084,70.0,81.91779351429633,79.21876513389066,0,169.12863470970882,166.045387428495,186.62559920118827,191.69118326872837,172.05909503451096,173.25095025991033,356.5956874653895,0.19951631428682984,77.46469057285486,74.74500361442335,141.87594621979653,181.90314250222832,93.573163571502,94.35134930465274
Downward_dog,downward_dog53.jpg,160.1892120978928,163.7982109248694,160.0,160.0,163.77827331154847,170.0,357.42887944560067,-12.472440681820265,7.425307271641224,67.81445965029421,62.52265426168551,297.2572554738743,74.1981224431595,63.58668236316714,0,169.0874297842376,165.35707216896577,184.8602803394609,195.26913414963798,172.88885981324222,175.67943745960088,354.98010795831925,2.616111890753174,172.74962604809662,70.2142138884896,89.78726273841899,115.78329924535336,76.97052514150644,77.72752734276801
Downward_dog,downward_dog54.jpg,170.0,163.3603016753394,157.1631822805091,160.0,170.0,170.0,353.5560009964652,-5.535813637126303,367.97847270866026,73.6248348608117,71.38229677133705,300.0,80.51515995062242,88.46829109254898,0,167.0746084270818,170.3189212682071,167.70003850029565,190.54715371975493,173.41650067192668,174.45462932553238,355.55184899232216,5.929345830610365,143.60087597500237,76.77149579044284,100.67544149566571,207.65437301632193,86.6397390012357,81.8203076479889
Downward_dog,downward_dog55.jpg,170.0,138.65843432158127,160.0,160.0,157.1997642926366,147.34312505208666,343.5662320762845,33.726231628979946,22.29754643849359,67.60000782726706,73.24253467335544,261.2733368207818,99.64892145051124,107.4536789561638,0,183.4024760819421,167.43985684917658,186.16572596122634,191.22937299026273,180.97697973084055,196.8274002310851,273.8067409067439,67.88825389205907,164.45587885705663,89.51238031097678,201.58446541696463,145.25957598377897,85.80877650788943,88.63316857917161
Downward_dog,downward_dog56.jpg,166.12694930066812,96.13653585575524,160.0,160.0,170.0,170.0,310.04632105325936,-6.908292499253508,-6.946609307120365,46.03181677393808,63.00591244724446,300.0,130.03491202990966,68.11607004589729,0,259.76793290156064,167.2655860003429,182.18457518870085,189.55467310736813,181.58423032439958,195.21998990496047,357.79752851329505,97.20080443820257,170.37024531457456,109.41481809336045,102.15228612650523,161.03688561248197,115.84218200378244,116.4675123666807
Downward_dog,downward_dog57.jpg,164.1372798120421,163.0817601484229,139.2412202097155,160.0,155.09146617771736,170.0,361.6628168597118,-16.57956460271285,-14.602030960996473,49.825729202069446,97.53093555225064,70.0,113.58309777862468,102.88346123678993,0,167.89688155600194,165.8820492673446,186.44233659438675,159.92970688336584,177.5952650606731,180.7903419623158,352.9990130851335,0.42707435988839915,93.32284507514507,109.55322454903144,93.30379209019446,165.20000472744994,110.2511761782008,103.94743887975676
Downward_dog,downward_dog58.jpg,98.9147783236682,143.45183664057305,135.43771103361507,106.22056131647246,113.67079412025636,113.00093507361414,373.1593717735526,-53.99860615477584,324.71470705216296,95.12546119779071,115.00399686843971,201.42442780635807,96.72716023090209,78.11292606322476,0,176.09015486805654,257.20885556064553,137.05220468211638,178.4083222838171,199.36665940473318,165.647464409945,341.8845320842915,13.981774419953153,204.3850564435948,72.47942747611347,190.59383284684395,167.77836443490068,122.60356822697645,138.22819385571555
Downward_dog,downward_dog59.jpg,145.00575698694425,170.0,160.0,150.08000729196357,170.0,170.0,-25.651092814407622,385.6011830164039,7.1651879545408725,113.15333506791636,121.77745313317462,220.73867157679555,151.47332164806505,83.4314195318014,0,169.0755411784896,168.79338130673162,218.43053902929165,178.9119693267776,206.26938913042173,178.48382253468418,72.10497166932993,196.68492837102767,222.77827034596612,174.00658097791936,99.94973879098164,279.72153403281396,132.2141845214946,152.64164770707268
Downward_dog,downward_dog6.jpg,170.0,149.91583297762008,159.1963246807097,160.0,170.0,170.0,348.485965263509,-5.458692651724347,-8.52374481578136,88.60564391253524,70.01847219240972,255.62484827605272,87.21345212995135,70.41767015002571,0,167.8014224365747,168.8905697760595,185.60663040656914,198.06092817889444,172.59014539439215,173.7364637251145,356.5935677712883,72.12356325120089,173.66557912934948,79.32574597534837,106.07264229828601,165.2429739686206,78.80658574133109,88.23368620111114
Downward_dog,downward_dog60.jpg,153.94968748044482,163.1720832485635,150.08275272945215,160.0,170.0,170.0,356.6170895339079,-8.46378504188583,-4.137722012619105,93.5410738526764,83.90955183155022,70.0,81.19796182774326,80.95877864227268,0,167.94103557890656,167.90927462021773,183.96428740525496,174.67042930482256,171.89456697095352,172.79500456929952,353.96883263721594,2.94469350924038,89.32261191236954,84.22259843310194,107.65284076265019,171.99675231041908,113.02714075743735,91.14294606469554
